359 428 535 1617 2848
terms 13 11 16 106 17
agreement, 4 18 14 56 3
proposed 16 20 21 192 31
transaction, 1 0 0 34 1
released 11 7 7 10 13
subject 3 5 11 186 41
continuing 6 3 10 26 45
diligence 0 0 0 7 0
investigation. 0 0 0 2 3
definitive 0 0 0 75 3
expected 72 72 110 163 170
negotiated 0 0 0 12 0
within 25 17 49 34 22
weeks 19 19 19 15 14
shareholders 1 2 0 281 169
meeting 52 21 85 100 68
held 15 13 26 129 31
July. 0 2 0 7 2
SUGAR 1 2 0 4 1
POLICY 2 4 17 1 1
MAY 8 28 6 20 16
SELF-DESTRUCT, 0 1 0 0 0
CONGRESSMAN 0 2 0 0 0
farm-state 0 1 0 0 0
Congressman, 1 1 0 0 0
Jerry 0 1 0 0 2
Huckaby, 0 4 0 0 0
D-La., 0 1 0 0 0
warned 10 4 5 2 2
press 14 7 12 21 10
next 41 61 68 51 55
control 8 8 10 143 14
domestic 72 29 81 12 46
production 196 109 7 37 51
sweeteners, 0 2 0 0 0
perhaps 1 4 12 1 2
corn 3 287 0 5 0
if 75 96 135 173 67
fails 1 1 0 2 0
voluntarily 1 1 0 1 0
halt 9 4 5 2 2
output 98 46 3 4 7
increases 10 17 9 7 26
"We're 1 4 1 9 2
moving 3 8 12 2 6
direction 2 1 7 4 3
where 25 24 22 37 10
we 53 62 73 64 52
self-destruct 0 1 0 0 0
(the 4 10 7 6 2
sugar 6 49 0 8 0
program)," 0 2 0 0 0
agriculture 2 33 0 3 0
issues, 0 3 8 4 5
Reuters 27 24 18 47 17
interview. 6 4 9 1 3
sugarbeet 0 1 0 0 0
growers 0 24 0 0 0
increases, 0 2 0 0 2
deliver 2 6 0 2 0
message 0 2 1 0 0
Louisiana 13 6 0 5 2
sugarcane 0 3 0 0 0
Friday. 3 2 9 15 3
soon 11 8 9 23 11
talk 1 19 11 4 2
refiners 11 3 0 0 1
subject. 0 2 0 0 0
Huckaby 0 14 0 0 0
campaign 1 7 0 2 1
urge 0 4 2 1 0
sweetener 0 10 0 0 0
effort 4 6 7 25 2
forestall 1 1 0 0 0
further 28 36 153 83 50
cuts 4 11 26 0 7
import 43 43 9 2 0
quota, 10 1 0 0 0
short 10 10 17 15 9
tons. 1 1 0 0 0
"I 17 19 46 48 12
think 21 18 38 41 9
we're 1 6 3 3 2
talking 1 2 8 8 3
dropping 0 2 3 2 0
quota) 0 1 0 0 0
half 27 15 29 25 113
tons, 1 3 0 0 0
lets 0 1 0 0 1
say, 2 1 1 1 0
you're 1 2 0 1 0
getting 3 6 6 5 4
point 10 9 58 12 12
might 23 34 45 102 22
work," 1 3 0 1 0
"Ideally, 0 1 1 1 0
I'd 0 2 1 0 0
like 17 7 13 18 7
freeze 2 3 0 4 1
right 7 5 11 66 19
are," 0 1 1 0 0
advocate 0 1 1 0 0
mean 3 8 17 5 4
6.5 1 4 4 8 15
staying 0 1 3 0 0
just 16 17 30 30 19
pct, 30 14 65 64 40
imports 44 73 36 3 4
holding 4 3 10 100 23
1.2 18 4 6 21 24
decision 13 29 17 55 27
whether 8 36 40 58 13
seek 3 5 3 74 14
until 35 27 28 76 23
numbers 1 1 3 0 6
known 6 9 4 21 6
late 16 29 38 39 22
feel 5 4 6 5 3
didn't 0 5 0 7 2
expand 2 13 9 29 18
production, 26 13 0 1 1
probably 19 27 14 20 14
hold 28 5 35 45 6
indefinitely, 0 1 0 0 0
least 20 34 16 61 24
any 57 69 68 173 57
changes 13 30 30 15 15
(in 3 2 1 0 0
However, 17 45 29 34 39
much 40 40 54 36 31
depends 0 3 6 3 2
high-fructose 0 1 0 0 0
syrup 0 3 0 0 0
producers 15 48 1 3 6
continue 29 15 43 83 51
noted 12 14 34 40 26
most 30 56 42 34 34
estimates 22 31 3 7 39
sweeteners 0 3 0 0 0
capture 0 1 0 0 1
economic 35 18 161 14 14
breakthrough 0 1 0 0 0
new 101 71 124 227 212
crystalline 0 1 0 0 0
expanded 3 5 1 3 6
share, 2 1 0 70 322
then 16 21 26 28 9
eliminated 0 2 2 1 3
severely 3 5 3 0 3
reduced. 1 1 0 0 0
refiner 5 1 0 0 0
companies 75 9 15 177 37
such 48 35 91 68 36
A.E. 0 3 0 0 0
Staley 0 2 0 1 1
Archer 0 5 0 0 0
Daniels 0 5 0 0 0
Midland 0 5 4 4 5
soon. 1 1 5 5 0
"This 13 11 13 15 9
advantageous 1 1 0 0 0
users. 0 2 0 0 0
They 36 30 50 35 19
natural, 0 1 0 0 0
self-interest 0 1 0 0 0
seeing 3 3 0 1 0
preserved," 0 1 1 0 0
representatives 4 12 2 20 0
how 15 27 23 22 20
controlled, 0 1 0 0 0
either 3 4 12 34 3
allocations, 0 1 0 0 0
acreage 4 55 0 1 1
controls. 0 1 3 0 1
seeking 2 6 12 79 12
guidance 0 1 0 0 0
Justice 3 2 0 29 1
Department 30 128 9 71 9
determine 3 13 10 7 6
legal 2 5 3 32 11
ask 6 8 7 4 8
limit 4 10 16 9 6
production. 19 12 0 0 3
don't 8 20 28 23 6
know 9 5 7 15 5
go 15 19 17 34 13
route, 0 1 0 0 0
do 37 34 51 45 22
there's 1 4 3 7 1
question 4 6 22 9 1
my 4 5 7 3 1
mind 3 3 2 1 0
time; 0 1 0 0 0
can 35 38 60 66 31
you 2 14 18 17 6
legally?" 0 1 0 0 0
Asked 15 9 29 8 6
proceed 4 2 0 13 2
controls 4 3 19 31 3
support 26 38 54 27 7
refiners, 0 1 0 0 0
"You 0 1 6 1 2
build 9 3 3 3 9
fragile 0 1 1 0 0
house 5 5 8 7 3
way." 1 1 2 0 0
understands 1 1 0 0 0
why 3 2 7 10 1
cane 0 4 0 0 0
beet 0 3 0 3 0
means 10 8 18 11 4
returns 1 5 0 3 4
higher 48 41 29 32 99
than 111 176 138 203 195
competing 1 4 0 20 0
crops 0 56 0 0 0
soybeans 0 32 0 0 0
grain. 0 9 0 0 0
whole, 0 1 0 0 1
expansion 4 7 7 14 24
good 10 28 9 17 48
policy. 3 7 26 3 2
tried 0 2 7 5 0
stress, 0 1 0 0 0
speeches 1 1 0 0 0
groups, 0 3 0 2 1
expand, 0 1 2 0 0
may 47 75 72 134 63
penalized 0 1 0 0 2
retroactively 1 1 0 0 2
passed 1 7 3 1 1
approve 0 6 3 17 16
Reagan 33 35 14 8 0
administration 16 54 12 9 2
proposal 6 29 11 92 11
drastically 0 2 0 0 2
slash 0 3 0 0 0
program. 1 16 1 5 4
so 24 34 58 26 29
drastic, 0 1 0 0 0
I 22 15 28 37 14
get 18 25 7 36 9
up 153 115 149 238 172
head 7 7 13 9 3
steam," 0 1 0 0 0
more 98 155 156 240 131
moderate 3 5 12 0 3
approved. 0 3 0 1 0
Instead 0 2 2 0 0
program, 4 35 1 3 2
file 1 5 0 14 4
complaint 0 5 0 11 1
General 13 10 2 130 57
Tariffs 0 4 0 0 0
Trade 1 25 42 15 1
against 54 73 211 74 166
European 14 58 76 48 13
Community's 0 3 0 1 0
EC 0 116 37 7 2
policies 6 9 34 1 0
major 36 68 168 73 79
cause 14 11 13 5 5
depressed 6 7 1 4 10
world 57 63 35 5 42
market. 14 15 29 24 11
BANGLADESH 0 5 0 0 0
FORECASTS 1 2 1 0 8
GDP 0 1 5 0 0
GROWTH 2 2 4 1 24
4.4 8 2 0 6 19
PCT 8 5 13 107 30
Gross 0 1 1 0 12
product 17 9 9 26 41
grow 2 10 13 3 11
ending 3 5 13 24 68
30, 0 23 3 27 42
Minister 73 18 66 21 0
Mohammad 0 1 0 0 0
Syeduzzaman 0 3 0 0 0
reporters. 1 1 4 4 3
Inflation 0 1 1 0 0
fell 67 26 61 14 94
estimated 45 62 36 42 52
fiscal 13 20 36 23 215
1981/82, 0 2 0 0 0
night. 2 1 2 4 0
World 16 14 16 67 22
Bank 27 3 468 179 119
independent 6 2 4 31 8
sources 55 106 87 55 6
inflation 6 1 34 1 5
1986/87. 1 2 0 0 2
remittances 0 1 7 0 0
expatriates 0 1 0 0 0
600 3 6 3 15 9
425 0 3 2 0 2
1981/82. 0 3 0 0 0
Foreign 15 10 27 2 7
reserves 93 1 71 17 41
end-June 0 1 0 0 0
projected 11 10 3 4 21
680 0 1 0 1 1
105 0 1 2 2 7
export 38 147 18 6 8
set 33 34 93 52 30
900 2 3 5 1 3
626 0 1 0 0 1
Commitments 0 1 0 0 0
grants 0 2 1 0 0
1986/87, 1 11 0 0 5
3.54 0 1 0 0 1
previously, 1 1 0 0 3
government's 19 10 22 11 3
liberal 1 1 1 0 1
policy 22 22 93 14 7
attracted 0 2 3 4 2
totalling 3 9 9 7 6
250 3 4 14 13 12
Foodgrain 0 1 0 0 0
16.4 0 2 0 1 11
tonnes 18 596 0 6 8
16.12 0 1 0 0 0
1985/86 3 38 1 0 15
Government 8 6 27 14 5
officials 52 73 78 65 9
Bangladesh 0 7 0 0 0
nearly 9 14 13 12 17
grain 0 314 0 2 2
annually 2 9 1 5 4
1990, 2 3 1 2 2
when 73 40 113 85 52
attain 2 1 0 0 2
self-sufficiency 1 3 0 1 0
food. 1 4 0 0 0
DATAMETRICS 0 0 0 0 1
&lt;DMCZ> 0 0 0 0 1
JAN 0 0 0 0 240
278,780 0 0 0 0 1
442,532 0 0 0 0 1
5,101,747 0 0 0 0 1
4,293,393 0 0 0 0 1
Avg 0 0 0 0 661
shrs 0 0 0 1 645
6,050,968 0 0 0 0 1
3,414,145 0 0 0 0 1
includes 4 4 0 59 488
tax 87 10 46 20 345
credits 4 0 7 4 80
123,500 0 0 0 0 1
179,000 0 0 0 0 2
dlrs. 48 25 18 368 354
SAND 0 0 0 0 2
TECHNOLOGY 0 0 0 6 21
SYSTEMS 0 0 0 24 48
&lt;SNDCF> 0 0 0 0 2
ended 29 24 7 55 263
nil 0 16 0 0 141
351,000 0 0 0 0 1
243,000 0 0 0 0 1
7,050,000 0 0 0 0 1
7,012,000 0 0 0 0 1
106,780,000 0 0 0 0 1
93,666,000 0 0 0 0 1
Six 0 2 7 5 100
ct 3 0 0 3 139
999,000 0 0 0 0 1
563,000 0 0 0 1 3
10.6 0 0 2 1 24
13.0 0 0 0 0 10
106,641,000 0 0 0 0 1
92,986,000 0 0 0 0 1
PRINCEVILLE 0 0 0 5 1
&lt;PVDC> 0 0 0 5 1
SELL 4 2 2 122 1
ITS 1 0 1 15 2
AIR 0 1 0 28 3
OPERATION 0 0 0 1 0
Princeville 0 0 0 19 0
Development 10 1 6 26 17
&lt;Aloha 0 0 0 1 0
Inc>, 0 1 0 33 10
Aloha 0 0 0 9 0
Airlines 0 0 0 44 4
Inc, 10 3 4 194 40
jointly 1 1 5 16 0
agreed 42 16 93 306 28
Airways 0 0 0 5 10
Aloha. 0 0 0 1 0
Under 8 25 10 84 10
sale, 0 1 0 24 11
entire 6 7 2 22 12
commuter 0 0 0 2 1
operation 8 0 6 30 13
access 3 3 3 19 5
Airport 0 0 0 3 0
island 8 0 3 1 1
Kauai. 0 0 0 1 0
operate 5 1 5 31 11
subsidiary 13 2 2 181 62
use 22 42 19 39 18
Aiways 0 0 0 1 0
name. 0 0 0 9 1
DUDLEY 0 0 0 4 0
TAFT 0 0 0 29 2
PURSUE 0 0 0 5 0
BROADCAST 0 0 0 1 0
&lt;TFB> 0 0 0 10 0
BID 0 7 0 100 2
Taft 0 0 0 82 0
Broadcasting 0 0 1 23 4
vice 13 8 5 38 19
Dudley 0 0 0 17 0
Narragansett 0 0 0 11 0
Capital 1 0 2 60 14
&lt;NARR> 0 0 0 3 0
pursue 0 0 3 13 2
rejection 0 1 0 9 0
yesterday 28 15 35 54 11
145 1 3 10 14 5
board. 0 3 1 39 7
Narragansett, 0 0 0 1 0
statement, 1 0 1 16 9
explore 7 1 1 16 0
alternatives 0 1 1 25 1
Broadcasting. 0 0 0 1 0
confident 1 2 6 15 9
conclude 0 1 2 5 1
resolution 0 0 2 4 5
company's 17 1 0 180 196
"unstable 0 0 0 1 0
situation" 0 0 0 1 0
quickly 2 3 7 7 5
best 6 6 9 25 7
interests 8 1 1 54 18
parties. 0 0 1 6 1
fair 0 2 0 20 3
shareholders. 0 0 0 49 12
yesterday, 5 7 21 14 8
however, 10 13 14 31 29
financial 12 10 75 142 124
advisor 0 0 0 6 1
Goldman, 0 0 0 7 0
Sachs 0 0 0 23 4
found 11 4 4 16 4
inadequate. 0 0 0 7 0
CANADA 17 14 1 17 20
SETS 1 4 34 33 311
INDUSTRY 9 1 0 3 1
AID 4 4 1 2 1
PACKAGE 2 1 0 0 0
Canada's 8 11 0 13 11
350 5 4 10 8 5
aid 13 29 9 2 2
package 7 9 23 9 1
incentives 18 3 1 1 2
designed 4 5 11 10 1
cover 6 35 4 3 20
one-third 2 3 1 6 4
costs, 5 10 0 3 21
Energy 116 0 0 35 9
Marcel 2 1 0 1 0
Masse 7 0 0 1 0
announced. 3 2 0 5 3
inject 2 0 9 1 1
investment, 4 1 2 4 2
conference. 6 0 1 5 10
affect 4 9 11 3 20
drilling 59 0 0 8 4
done 1 5 12 6 5
anywhere 1 0 1 0 0
Canada 26 17 25 48 20
1, 10 19 10 10 31
reporters 24 5 24 10 8
aimed 7 4 22 15 10
small 18 9 25 26 22
medium 3 3 8 5 6
sized 1 1 1 1 0
package, 1 2 0 0 0
called 36 13 13 36 7
Canadian 33 53 24 92 57
Exploration 22 0 0 7 4
Incentive 1 0 0 1 0
Program, 1 10 0 0 0
restrict 3 5 3 0 2
payments 17 52 26 15 40
individual 5 4 1 6 7
claim 2 1 1 5 1
generate 2 1 2 7 9
employment 3 1 16 2 1
equivalent 15 4 7 15 8
20,000 2 11 0 1 3
people 11 13 12 15 4
working 14 9 7 27 10
spending 24 6 9 3 23
dropped 25 5 17 4 17
since 48 58 92 77 55
prices 244 130 42 42 81
decided 13 19 7 44 13
large 15 30 41 19 23
number 24 33 7 71 39
non-tax 1 0 0 0 0
paying 5 5 10 12 12
companies, 10 2 1 22 10
mainly 8 4 9 8 43
firms, 4 0 2 11 2
receive 7 22 1 88 22
value 13 12 40 94 63
incentive. 1 0 0 0 0
Such 3 2 5 8 3
immediately 9 1 5 32 4
benefit 10 4 6 7 29
benefits, 1 2 0 0 1
wanted 8 5 15 19 3
outside 20 9 9 19 10
system. 1 9 26 3 4
Michael 3 3 3 15 13
Wilson 3 4 3 3 0
reviewing 5 1 0 8 1
plans 29 15 19 144 71
announce 2 1 4 10 6
proposals 23 22 19 31 7
later 17 24 15 54 18
spring. 3 1 0 1 0
important 13 8 13 8 7
feature 1 1 1 0 0
issue 11 13 34 60 69
flow-through 3 0 0 1 0
allowing 3 3 2 9 6
subsidy 1 54 0 1 0
rather 10 16 23 4 14
restricting 1 0 0 3 0
participating 1 3 2 8 0
Allowing 1 0 0 0 0
make 31 49 39 95 50
easier 1 2 4 2 0
attract 2 2 1 6 0
development, 3 1 0 1 6
department 13 66 2 13 6
still 31 48 70 59 37
considering 4 13 4 49 6
allow 16 18 12 41 15
partnerships 1 0 0 1 0
entities 1 2 1 6 1
qualify 2 1 0 0 1
subsidy. 1 0 0 0 0
PACIFIC 2 0 0 23 23
&lt;PCG> 0 0 0 0 1
ACCOUNTING 0 0 0 0 4
CHANGE 3 0 3 1 4
CUT 7 3 15 6 19
Pacific 26 7 0 94 40
Electric 1 1 0 16 23
470 1 1 0 0 3
dlr, 1 0 2 2 4
1.25 1 2 2 10 25
reduction 14 18 11 4 38
change 24 20 45 29 63
method 0 0 0 1 13
used 15 22 17 63 28
Diablo 0 0 0 3 2
Canyon 0 0 0 0 2
Nuclear 0 0 0 3 5
Power 1 1 0 10 21
Plant 0 1 0 3 3
revenues. 6 0 0 7 8
accounting 1 1 3 9 60
intends 2 2 0 39 17
1.92 0 1 0 0 4
Last 7 12 10 39 31
reported 24 35 8 65 262
925 0 0 0 0 1
2.60 0 1 0 0 1
prompted 2 2 6 1 3
delays 0 1 2 1 8
receipt 0 0 0 25 4
California 16 0 0 28 13
Public 1 3 4 3 24
Utilities 0 0 0 1 13
1984 5 5 3 7 12
application 1 4 0 48 3
relief 16 3 2 2 2
recover 6 0 3 7 12
5.8 0 0 0 4 8
cost 33 37 13 28 58
constructing 0 0 0 2 1
units 4 6 3 46 27
Project. 0 0 0 0 2
40 19 12 15 51 93
plants. 0 1 0 2 3
As 12 9 19 43 33
result, 2 2 4 4 13
63 1 3 1 3 31
accumulating 0 0 0 5 2
month 40 37 76 33 41
deferred 0 0 0 2 26
non-cash 0 0 0 0 3
receivable, 0 0 0 0 2
included 7 10 7 25 60
income. 1 1 1 0 9
change, 2 2 0 2 1
effective 27 10 17 21 41
received 8 23 3 94 30
interim 0 0 3 4 12
rates 6 14 286 3 25
commission, 0 0 0 0 2
awaiting 1 4 0 2 1
Staff 0 0 0 9 2
Division's 0 0 0 0 1
recommend 3 2 0 11 11
allowed 12 9 17 12 7
rates. 3 6 36 2 8
stated 2 4 2 10 12
objective 1 1 9 2 3
review 9 9 15 41 9
facts. 0 0 0 0 1
began 10 12 21 30 13
construction 8 1 2 9 20
nuclear 2 2 1 5 16
power 7 2 4 25 18
1969. 0 0 0 1 1
After 6 3 9 13 11
delays, 0 1 0 0 1
unit 15 4 5 172 87
line 18 12 24 35 36
FERTILITY 0 0 0 0 1
GENETICS 0 0 0 0 2
RESEARCH 0 0 0 4 5
&lt;BABY> 0 0 0 0 1
Periods 0 0 0 0 9
December 43 20 18 47 107
316,289 0 0 0 0 1
189,140 0 0 0 0 1
61,762 0 0 0 0 1
8,934 0 0 0 0 1
&lt;TEMCO 0 0 0 1 1
SERVICE 0 0 0 10 13
INDUSTRIES 0 0 0 23 123
INC> 0 0 0 20 66
21 2 3 6 16 89
182,839 0 0 0 0 1
132,804 0 0 0 0 2
25.0 0 3 0 0 5
19.4 1 1 0 1 11
NATIONWIDE 0 0 1 1 2
CELLULAR 0 0 0 1 2
&lt;NCEL> 0 0 0 1 1
COMPLETES 2 0 0 96 0
PURCHASE 2 1 0 44 2
Nationwide 0 0 0 1 4
Cellular 0 0 0 3 0
Service 1 10 0 40 17
completed 16 3 2 180 24
previously-announced 0 0 0 28 5
acquisition 2 1 0 325 58
privately-held 1 0 0 28 1
Nova 8 0 0 8 1
Co, 7 2 3 70 18
Chicago 3 15 7 26 6
reseller 0 0 0 1 1
mobile 0 0 0 2 1
telephone 4 1 2 30 19
service 9 1 14 39 23
1,800 0 1 0 2 0
subscribers, 0 0 0 3 0
65,000 0 1 0 4 3
shares. 2 0 0 149 40
accumulated 0 0 0 7 6
650,000 1 0 0 2 1
revenues 16 2 0 70 138
2,600,000 0 1 0 1 4
1986, 36 31 14 48 183
BP 16 0 0 38 4
SCOTTISH 1 0 0 0 1
REFINERY 12 0 0 2 0
SET 3 5 8 6 23
RESTART 1 0 0 0 0
THIS 2 2 3 5 4
WEEK 8 9 4 4 1
British 25 17 36 60 31
&lt;BP.L> 5 0 0 3 1
Plc's 2 0 0 6 3
refinery 66 0 0 0 3
Grangemouth, 3 0 0 0 0
Scotland, 1 0 0 0 0
shut 12 0 0 0 1
down 73 62 68 27 78
explosion 10 4 0 0 0
fire 10 3 0 3 2
hydrocracker 8 0 0 0 0
back 21 21 38 38 26
towards 14 7 16 5 2
week-end, 1 0 0 0 0
resume 8 2 3 2 6
178,500 3 0 0 0 0
barrels 259 0 0 4 5
day 90 6 19 19 6
(bpd) 26 0 0 0 0
capacity, 6 2 0 1 6
work 12 10 12 20 17
overhauling 1 0 0 0 0
North 34 15 1 36 40
Side 2 0 0 0 0
complex, 1 0 1 0 1
end 47 30 52 47 122
April. 5 2 8 18 9
longer 9 4 18 13 19
originally 4 4 2 22 8
lengthy 1 0 0 1 0
safety 1 2 0 2 2
checks 1 0 0 1 0
carried 7 2 6 5 7
restarting. 1 0 0 0 0
fire, 3 0 0 0 1
worker 2 0 0 0 0
killed, 2 0 0 0 0
caused 13 23 12 9 22
extensive 7 4 0 3 2
central 8 10 280 7 2
32,000 2 1 0 1 2
today 66 31 131 98 42
remainder 2 2 1 9 7
refinery, 7 0 0 0 0
19,000 2 0 0 1 3
catalytic 2 0 0 0 0
cracker, 2 0 0 0 0
undamaged. 2 0 0 0 0
inquiries 1 1 2 1 2
accident, 2 0 0 0 1
happened 1 0 2 2 1
operation, 1 0 0 2 7
continuing. 1 0 0 2 0
incident, 2 0 0 0 0
killed 7 0 0 0 0
13. 5 2 0 5 16
CANADIAN 16 8 1 14 6
IMPERIAL 1 0 0 0 6
LOWER 4 8 1 1 41
LOAN 5 2 0 1 8
LOSSES 0 0 0 0 11
&lt;Canadian 2 0 0 9 3
Imperial 7 0 0 10 12
Commerce>, 0 0 0 1 1
reporting 2 5 3 5 37
quarter 30 4 20 32 639
31, 6 8 5 51 105
loan 27 42 5 52 66
losses 6 10 8 21 167
lower 35 45 47 20 136
697.0 0 0 0 0 1
maintain 14 9 9 10 19
provisioning 0 0 0 0 1
many 23 32 34 17 15
uncertainties. 0 0 0 0 1
Commerce 2 8 12 44 16
636.0 0 0 0 0 1
October 7 9 6 8 22
31. 0 7 9 11 82
96.5 0 0 0 1 3
87.0 0 1 0 0 5
Profit 0 0 0 0 13
basic 3 8 10 2 10
dividends 0 0 0 9 55
61 2 2 0 4 27
64 8 3 0 3 46
cts. 1 0 0 1 28
uncertainties, 0 0 0 0 3
estimate 6 30 41 6 19
600.0 0 0 0 0 1
calculating 0 0 4 0 2
results. 1 0 0 4 25
provision 1 21 4 17 82
172.0 0 0 0 0 3
152.0 0 0 0 0 3
adopt 1 1 4 1 2
agressive 0 0 0 0 1
posture 0 0 0 0 1
adding 20 11 18 17 24
general 16 14 18 31 31
exposure 0 0 5 3 12
34 4 2 1 19 64
designated 0 2 1 1 3
Inspector 0 0 0 0 1
Banks. 0 0 0 0 3
partly 5 4 22 9 21
benefitted 1 2 0 0 5
income, 0 2 1 0 7
561.8 0 0 0 0 1
540.9 0 0 0 0 2
improved 5 13 3 8 63
213.6 0 0 0 0 1
year-earlier 0 1 0 0 21
170.1 0 0 0 0 1
partially 5 2 0 4 5
offset 10 10 19 4 38
provisions, 0 0 0 1 9
non-interest 0 0 0 0 2
expenses 0 0 0 19 56
taxes. 0 0 0 1 11
83.92 0 0 0 0 2
78.93 0 0 0 0 2
continued 13 16 15 7 35
consumer 5 3 15 17 17
fields. 1 2 0 0 1
Return 0 0 0 0 2
100 13 10 20 81 50
fourth 15 9 4 16 156
quarter. 7 1 1 12 91
non-accrual 0 0 0 0 8
1.8 8 7 1 7 15
year-end. 0 0 0 1 5
"Despite 0 0 0 0 1
announcement 6 5 4 41 8
suspension 8 1 5 0 9
Brazil, 5 3 1 5 4
virtually 2 2 4 2 2
country 28 21 15 7 6
producing 39 16 4 6 3
1987, 11 22 3 26 79
little 8 14 38 11 14
adverse 0 4 4 4 4
impact 10 17 18 14 36
announcement," 0 0 0 0 1
disclose 2 0 1 21 4
forecast 15 35 66 4 50
future 24 8 22 52 53
Brazil's 17 2 8 1 12
payments. 0 14 1 3 6
WASTE 0 0 0 14 3
&lt;WMX> 0 0 0 5 1
ENDS 0 0 0 24 10
CHEMLAWN 0 0 0 23 0
&lt;CHEM> 0 0 0 10 0
Waste 0 0 0 37 4
Management 1 2 0 58 10
wholly 1 0 0 40 7
subsidiary, 4 0 0 41 25
WMX 0 0 0 2 0
Acquisition 0 0 0 70 1
Corp, 9 3 0 149 45
ChemLawn 0 0 0 46 0
35 10 5 6 51 76
All 4 12 4 7 9
tendered 0 1 0 36 0
returned 7 1 4 2 7
practical, 0 0 0 1 0
Earlier 5 3 5 28 10
week, 15 20 31 22 4
accept 22 5 4 35 0
36.50 0 0 0 5 1
Ecolab 0 0 0 9 0
transaction 3 1 1 140 12
valued 1 10 2 54 4
370 0 0 0 2 0
AMC 0 0 0 46 1
&lt;AMO> 0 0 0 12 3
STUDYING 0 0 0 5 0
CHRYSLER 0 0 0 18 3
&lt;C> 0 0 0 13 4
PROPOSAL 1 2 0 12 1
Motors 0 0 2 27 12
studying 3 2 1 19 4
Chrysler 0 0 0 68 8
Corp. 2 1 8 46 27
"advising 0 0 0 1 0
us 10 6 3 20 11
enter 3 2 7 20 0
Corp." 0 0 0 1 0
brief 3 0 3 5 0
said, 42 44 47 66 74
comment 4 13 39 85 8
appropriate." 0 0 0 1 0
keeps 1 1 4 0 0
intervening 0 0 11 0 0
dollar 8 2 494 6 40
above 44 26 70 13 17
149 0 0 13 0 2
yen, 0 0 53 6 12
brokers 0 2 15 5 3
WELBILT 0 0 0 1 1
&lt;WELB> 0 0 0 1 1
58 2 1 2 4 32
3,144,000 0 0 0 0 1
2,464,000 0 0 0 0 1
54.6 0 0 0 0 5
38.6 0 0 0 0 6
5,394,000 0 0 0 0 1
4,602,000 0 0 0 0 2
2.03 1 0 1 0 7
10.5 0 4 2 3 33
8,084,000 0 0 0 0 3
201.1 0 0 0 0 1
152.4 0 0 0 0 1
5,154,000 0 0 0 0 2
COMMONWEALTH 0 0 0 2 3
MORTGAGE 0 0 0 2 12
&lt;CMA> 0 0 0 0 1
PAYOUT 0 0 0 0 198
Qtrly 0 0 0 0 38
26 8 14 6 14 97
cent 3 5 4 2 30
pro 0 0 0 4 5
rated 0 5 0 2 1
45 2 4 5 33 76
basis 4 12 16 22 28
abbreviated 0 0 0 0 1
qtr. 0 0 0 0 15
Full 0 0 0 3 58
commonwealth 0 0 0 0 1
america. 0 0 0 0 2
OFFICIALS 1 0 2 1 0
DEFEND 1 0 2 0 0
RESERVE 2 5 1 1 0
SALE 4 1 0 88 20
PLAN 3 8 2 19 2
James 7 1 43 31 15
Baker 4 0 86 53 1
Office 2 11 1 6 2
Budget 4 7 13 1 0
chief 4 2 17 76 58
Miller 5 3 0 2 2
defended 1 1 1 0 0
plan 22 17 7 91 48
Naval 3 0 0 0 0
Reserves. 1 0 0 0 0
response 12 9 19 51 11
hostile 1 0 0 28 4
questioning 1 0 0 1 0
Appropriations 2 4 6 1 0
Committee, 1 3 4 0 0
justified 2 0 2 0 0
help 60 23 71 18 14
bring 11 9 16 16 9
1988 8 15 5 7 31
acknowleged 1 0 0 0 0
proceeds 1 0 1 39 24
actually 1 5 4 3 0
2.2 15 6 2 5 25
reserves. 10 1 7 0 7
higher. 4 0 2 1 4
"We'd 1 1 0 0 0
highest 8 7 2 3 5
bidder," 1 0 0 1 0
"If 14 15 18 8 3
we'll 2 3 1 0 0
take 37 32 71 122 43
it." 3 4 1 2 1
HAS 1 1 7 60 14
FIVE 1 0 0 11 12
SAGE 0 0 0 1 1
DRILLING 4 0 0 1 3
&lt;SAGE> 0 0 0 1 0
Arthur 3 0 0 4 4
Appleton, 0 0 0 2 0
investor, 0 0 0 10 0
39,000 0 0 0 2 1
Sage 0 0 0 2 1
Drilling 4 0 0 1 2
5.1 0 2 2 13 12
stock. 3 0 1 153 42
Appleton 0 0 0 2 1
bought 7 30 75 153 17
116,554 0 0 0 1 0
purposes. 1 0 0 18 7
Depending 1 0 0 2 0
circumstances, 0 0 1 5 2
stake. 0 0 0 25 3
&lt;NOVA> 0 0 0 1 0
WINS 0 0 0 3 0
GOVERNMENT 0 2 0 5 3
OKAY 0 0 0 5 0
HUSKY 0 0 0 2 0
&lt;HYO> 0 0 0 2 0
DEAL 2 0 0 19 1
Nova, 0 0 0 2 0
owns 4 1 0 96 11
56 1 2 3 8 42
Husky 0 0 0 11 1
Ltd, 10 0 4 62 12
approval 4 3 4 144 48
&lt;Union 0 0 0 4 1
Faith 0 0 0 3 0
Holding 0 0 0 25 4
Ltd> 11 0 2 110 32
43 1 1 0 9 61
Husky. 0 0 0 4 0
Regional 0 0 0 6 1
Industrial 3 1 4 17 8
Expansion, 0 0 0 1 0
Michel 0 0 3 1 1
Cote, 0 0 0 1 0
ruled 9 7 4 5 0
Union 20 60 5 42 16
Faith's 0 0 0 1 0
purchase 14 17 9 228 30
