crude grain money-fx acq earn
August 5 13 0 7 33
sharply 9 9 15 3 22
long-term 3 6 9 22 18
exclude 0 2 0 5 51
NATIONAL 2 1 1 13 41
Services 2 2 0 34 20
America 4 3 0 35 15
largely 13 2 16 7 19
parent 1 0 0 21 35
1.1 6 3 4 5 39
46 1 1 1 12 42
Investment 3 2 2 18 32
PLC 3 0 0 21 33
like 14 6 13 17 7
intends 2 2 0 37 16
substantially 2 4 3 27 21
daily 17 12 17 9 2
Payable 0 0 0 0 57
de 16 5 10 17 9
yesterday. 4 8 22 21 2
country's 19 9 17 8 4
John 21 7 2 18 8
53 0 0 3 6 47
administration 10 27 11 7 1
aimed 7 3 22 15 9
proposals 13 10 10 21 2
maintain 12 9 8 10 17
discuss 12 6 12 26 0
monetary 1 0 54 1 0
beginning 5 12 20 6 13
EARNINGS 0 0 0 0 56
remained 7 8 23 7 11
pending 4 4 1 36 11
minimum 3 12 14 23 4
CRUDE 56 0 0 0 0
keep 13 8 22 11 2
involved 5 4 7 29 10
study 22 12 5 13 3
treasury 1 1 46 5 2
stability 8 2 37 2 6
almost 4 11 15 7 18
Committee 7 17 28 3 0
group, 4 3 0 38 10
three-for-two 0 0 0 1 54
Government 7 6 27 10 5
producing 30 12 4 6 3
1988 7 9 5 7 27
"If 13 14 17 8 3
agreements 6 2 16 26 5
discount 2 0 37 6 10
negotiations 2 9 6 25 13
factors 3 6 32 3 11
traded 4 6 22 19 4
SHARES 1 0 0 45 9
revenue 10 3 1 11 30
Grain 0 53 0 2 0
temporary 3 3 36 10 3
month, 12 10 14 12 7
plus 4 4 11 23 13
local 6 8 19 11 11
Credit 0 29 4 17 5
efforts 7 6 12 17 12
44 2 0 1 10 41
properties 7 0 0 18 29
short 8 8 17 12 9
"This 11 11 12 13 7
government's 16 9 18 8 3
yesterday, 5 7 21 14 7
LOWER 4 8 1 1 40
announcement 6 4 4 32 8
accept 14 5 3 32 0
Qtr 0 0 0 0 54
China 9 35 3 5 2
came 11 2 18 12 11
petroleum 43 0 1 2 8
stocks 24 17 4 6 3
unit, 3 0 0 35 16
Ltd>, 0 0 0 39 15
November 1 5 6 16 26
resulting 2 3 10 13 26
difficult 6 9 18 9 12
price. 6 5 0 38 5
DLR 10 2 22 6 14
reports 18 9 6 12 9
levels. 6 6 31 0 10
Other 6 8 6 10 23
DIV 0 0 0 0 53
Note 0 1 0 0 52
Foreign 14 8 24 1 6
venture 5 0 1 37 10
3.5 10 8 6 9 20
1.3 6 3 5 13 26
opened 2 5 27 9 10
begin 13 11 4 11 14
sector 5 5 12 8 23
offers 3 8 15 26 1
accepted 1 24 8 17 3
met 8 6 13 24 2
ENERGY 17 0 0 8 28
improvement 8 0 12 1 32
reserve 12 8 13 3 17
firm, 0 1 1 49 2
flow 9 2 5 11 26
47 5 0 1 6 40
Inc's 3 0 0 42 7
mark 1 2 33 1 15
volume 6 9 9 6 22
year-ago 9 3 1 1 38
companies. 9 0 1 31 11
expansion 4 5 7 13 23
partly 3 4 17 8 20
yen, 0 0 38 6 8
57 0 3 1 5 43
No 11 11 5 14 11
today's 6 13 21 7 5
holdings 0 0 9 31 12
writedown 0 0 0 0 52
looking 8 5 14 14 11
extended 3 8 2 35 4
TALKS 4 1 3 43 1
wants 13 3 12 20 4
options 12 3 8 25 4
particularly 9 11 6 9 16
specific 5 5 12 8 21
B 1 0 0 22 28
MAY 7 8 5 18 13
either 3 4 12 29 3
spending 17 4 9 2 19
rates. 3 6 33 2 7
Service 1 9 0 24 17
compares 1 4 36 4 6
OPER 0 0 0 0 51
giving 2 6 3 25 15
produced 17 14 4 8 8
85 0 10 6 8 27
Australian 7 11 6 12 15
NO 12 10 15 12 2
posted 18 9 0 5 19
NOT 5 5 18 19 4
overall 11 10 4 6 20
month. 8 17 10 8 8
systems 1 1 1 36 11
associated 4 1 3 11 31
TWO 3 0 5 17 25
vote 1 6 1 35 7
producers 12 28 1 3 6
Development 10 1 6 21 12
best 6 4 9 24 7
immediately 9 1 5 31 4
dividends 0 0 0 4 46
64 6 3 0 3 38
Management 1 2 0 38 9
Earlier 5 3 5 27 10
GENERAL 0 0 0 17 33
equal 2 7 4 11 26
cash, 1 4 3 38 4
that, 6 3 10 20 11
500,000 5 16 0 17 12
Saudi 32 6 11 0 1
believed 5 4 16 20 5
Washington 10 7 23 9 1
France, 2 4 37 5 2
unit. 0 0 0 28 21
provisions 2 7 3 8 29
unlikely 2 8 23 8 8
legal 2 4 3 30 10
means 9 8 17 11 4
operate 5 1 5 29 9
people 7 12 11 15 4
benefit 7 4 5 7 26
allowed 9 8 14 11 7
reporting 2 5 2 5 35
56 1 2 3 7 36
Robert 6 2 15 19 7
estate 0 1 2 22 24
Friday 10 4 14 18 3
assets. 0 0 3 27 19
ownership 2 0 0 38 9
Community 1 26 11 7 4
SEEN 13 12 12 5 7
left 7 9 15 13 5
ACQUIRES 1 0 0 47 0
clear 6 4 23 11 4
lead 8 6 10 11 13
indicated 8 10 8 18 4
operation 6 0 4 25 13
Commerce 2 8 9 26 3
October 6 8 4 8 22
Baker 3 0 33 11 1
2.2 13 5 2 5 23
prospects 6 13 12 3 14
41 3 2 1 4 38
meeting. 3 4 3 15 23
1.9 6 7 1 9 25
court 3 3 1 37 4
along 11 11 4 15 7
1st 0 0 0 1 47
Loan 0 1 0 29 18
falling 14 3 14 2 15
Communications 1 0 0 35 12
48 3 1 3 1 40
amounts 2 6 15 8 17
markets. 4 6 17 15 6
capacity 20 2 0 12 14
Richard 3 24 3 12 6
preliminary 6 8 2 21 11
SAID 9 10 6 21 2
wheat, 0 48 0 0 0
ahead 8 8 19 5 8
Monetary 0 2 45 0 1
risk 1 3 19 11 13
David 2 4 8 21 12
prepared 10 2 12 15 8
board. 0 3 1 36 7
Acquisition 0 0 0 46 1
HELP 4 1 40 0 2
maker 0 0 1 36 10
France 2 8 26 5 6
addition 9 1 4 17 16
class 1 0 0 24 22
3 0 5 5 12 25
certificates 0 18 12 3 14
note 0 0 23 15 9
Japan's 3 2 20 18 4
Dec 2 0 0 5 40
activities 7 1 2 18 19
Fed 0 0 46 1 0
customer 1 2 26 9 9
Economic 4 7 21 12 3
competition 7 8 2 14 16
buyout 0 0 0 45 2
every 6 6 4 14 17
oil, 38 4 2 3 0
competitive 3 18 8 8 10
delivery 3 23 4 10 6
reach 5 16 3 10 12
entire 5 7 2 20 12
Chicago 2 13 5 21 5
wholly 1 0 0 38 7
shipments 12 23 0 1 10
operations, 2 3 3 11 27
yen. 0 0 43 1 2
weekly 14 15 13 3 1
Wheat 0 46 0 0 0
Co. 5 3 1 19 18
STORES 0 0 0 6 40
winter 5 39 0 0 2
affected 2 16 3 2 23
research 13 2 6 10 15
39 4 0 2 1 39
operates 0 0 0 37 9
request 6 9 6 25 0
newly 1 0 5 34 5
period. 7 5 3 9 21
Div 0 0 0 0 45
released 11 6 7 10 11
known 6 8 4 21 6
cause 12 11 12 5 5
equivalent 13 4 5 15 8
wanted 8 5 12 17 3
important 10 8 13 8 6
CUT 6 3 15 6 15
PURCHASE 2 1 0 40 2
SET 3 5 8 6 23
GIVEN 0 0 44 1 0
2.3 3 7 1 11 23
partnership 6 1 0 28 10
week's 8 15 20 2 0
direct 3 6 10 11 15
U.S., 8 5 19 8 5
release 4 11 4 12 14
Total 8 10 4 1 22
rest 7 7 8 11 12
earlier. 5 3 1 4 32
controlled 0 1 0 41 3
contracts 7 11 7 11 9
split, 0 1 0 2 42
details. 5 6 6 20 8
helped 4 7 12 6 16
manufacturing 2 0 5 21 17
connection 1 0 1 29 14
newspaper 6 5 6 26 2
political 8 6 18 9 4
Commodity 4 37 4 0 0
report. 9 13 8 4 11
TENDER 0 11 6 28 0
State 7 14 4 16 4
top 9 5 13 11 7
having 8 0 10 20 7
respectively, 1 4 2 2 36
paper 3 7 21 9 5
base 1 7 15 13 9
overseas 7 3 14 14 7
primary 7 0 4 5 28
Congress 8 16 14 4 2
call 3 4 24 10 3
damage 15 18 8 3 0
cuts 4 9 24 0 7
controls 3 3 7 28 3
independent 6 2 4 25 7
affect 4 9 10 3 18
cannot 8 6 16 11 3
times 6 7 13 14 4
Export 2 41 1 0 0
rates, 0 2 33 3 6
prevent 5 5 18 15 1
active 4 9 15 9 7
totalled 9 11 4 9 11
reason 2 6 13 12 11
group's 3 1 0 21 19
resulted 3 11 3 6 21
principal 2 1 2 28 11
investments 6 0 6 7 25
ordinary 0 0 3 25 16
it. 6 9 6 22 1
hard 7 13 12 7 5
400 5 5 10 15 9
Banking 0 0 22 12 10
30. 1 5 1 14 23
discussions 5 4 3 30 2
Tax 3 0 0 1 39
UPS 0 0 0 20 23
you 2 12 14 11 4
Inc>, 0 1 0 32 10
power 4 2 3 23 11
120 6 2 8 12 15
outlook 8 6 11 2 16
computer 1 1 1 31 9
force 13 3 10 12 5
business, 2 0 1 20 20
12.5 1 1 1 6 34
considered 6 8 10 17 2
stores 0 4 0 20 19
ACQUIRE 0 0 0 43 0
GETS 4 0 5 30 4
subsidiaries 3 0 0 28 12
bonus 1 24 0 1 17
building 6 4 4 21 8
Its 3 1 5 18 16
television 7 0 5 24 7
trust 2 0 9 21 11
Fund 3 0 13 19 8
approximately 3 4 0 23 13
possibility 4 5 8 21 5
dollar's 1 0 37 0 5
brought 10 8 11 7 6
cooperate 3 0 33 6 0
Gas 11 0 0 21 10
outstanding, 0 0 0 35 7
versus 2 10 1 2 27
effort 4 6 6 24 2
policies 6 9 26 1 0
companies, 7 2 1 22 10
consumer 4 1 12 14 11
us 7 5 3 16 11
TRUST 0 0 2 9 31
northern 15 19 0 7 1
PLANS 6 2 1 16 17
settlement 1 2 5 8 26
agreement. 2 7 4 24 5
retail 2 0 3 25 12
view 3 6 10 16 7
asset 2 0 2 17 21
pension 0 0 5 4 33
excess 3 6 5 16 12
interested 2 5 0 30 5
instead 5 6 12 8 11
facilities 5 6 7 11 13
London 7 2 12 13 8
regular 1 3 9 3 26
especially 0 5 21 5 10
BILLION 0 3 25 5 8
split. 0 1 0 3 37
paying 3 5 10 12 11
After 6 2 9 13 11
telephone 4 1 2 24 10
April. 5 2 8 18 8
shipping 12 10 1 7 11
band 0 0 40 1 0
ends 1 5 0 2 33
69 2 1 2 8 28
lending 5 0 21 5 10
Rev 0 0 0 0 41
72 3 2 2 2 32
maize 0 40 1 0 0
Stock 1 1 3 22 14
committed 6 5 9 17 4
economists 2 3 34 1 1
intervene 2 0 36 3 0
saw 10 4 8 7 12
security 11 0 4 16 10
Tokyo 0 2 33 3 3
reflected 6 2 8 2 23
While 2 8 10 13 8
find 8 3 13 15 2
Court 7 3 0 26 5
"the 11 2 11 9 8
exceed 5 5 3 9 19
GAS 14 0 0 7 19
benefits 6 6 4 12 12
merge 1 1 0 35 3
83 0 0 0 22 18
projected 10 10 3 3 14
PACIFIC 2 0 0 19 19
originally 4 4 2 22 8
58 2 1 2 4 31
cent 3 5 4 2 26
gross 10 0 12 3 15
bankers 4 0 27 6 3
FALL 10 10 15 0 5
though 10 8 6 5 11
Brothers 7 0 4 23 6
Although 5 8 9 7 11
countries, 8 8 22 0 2
earnings. 2 0 1 11 26
savings 2 8 1 20 9
expire 2 1 2 32 3
warrants 1 0 2 31 6
provides 2 4 4 26 4
Earlier, 3 1 12 2 22
REPORT 2 21 1 2 14
comment. 1 1 7 25 6
Operating 1 0 0 1 38
land 5 19 3 5 8
WORLD 5 4 4 19 8
pact 8 2 26 3 1
free 8 13 4 10 5
Results 0 2 0 0 38
2.4 5 9 0 4 21
54 1 0 1 14 23
SAVINGS 0 0 0 11 28
question 3 6 20 9 1
250 3 4 11 10 11
Airlines 0 0 0 37 2
system. 1 9 22 3 4
towards 12 5 15 5 2
10.5 0 4 1 3 31
normal 3 18 6 5 7
FURTHER 0 1 33 1 4
Bank's 2 0 34 1 2
dealer 0 2 31 5 1
determined 7 1 9 14 8
USSR 1 38 0 0 0
law 4 4 2 21 8
case 6 9 7 11 6
These 8 4 8 9 10
predicted 7 4 6 8 14
continues 2 3 2 14 18
Britain, 2 2 33 2 0
negative 3 7 11 0 18
28, 1 4 3 6 25
Another 2 8 15 9 5
CURRENCY 0 0 39 0 0
acquiring 1 0 0 34 4
15.8 26 0 0 2 11
1.7 3 1 0 10 25
accounts 10 0 11 4 14
speculation 2 3 9 23 2
participation 0 7 4 14 14
"They 7 2 10 14 6
inventory 5 7 2 4 21
February, 15 6 8 3 7
"There 1 10 16 11 1
report, 12 15 5 1 6
granted 3 7 0 24 5
coming 7 9 13 2 8
States, 10 8 17 2 2
commodity 4 25 4 3 3
agricultural 2 32 0 2 3
ranging 1 4 2 31 1
significantly 4 3 5 7 19
Senate 1 19 12 6 0
ONE 11 1 8 0 18
step 6 8 5 17 2
January, 10 5 11 6 6
determine 3 12 10 7 6
know 8 5 7 13 5
approve 0 5 3 16 14
California 6 0 0 22 10
63 1 3 1 3 30
condition 5 3 4 20 6
EXPORT 6 32 0 0 0
meeting, 4 8 9 10 7
time. 5 4 9 10 10
4.5 2 2 2 5 27
raising 5 3 5 14 11
generally 10 6 9 4 9
Dlrs 2 6 9 12 9
delayed 5 6 8 11 8
barley 0 38 0 0 0
time, 5 6 7 12 8
subordinated 0 0 0 26 12
73 2 0 3 8 25
Enterprises 0 0 0 30 8
series 7 3 6 12 10
look 8 9 7 6 8
basis. 0 2 5 18 13
credit. 1 0 0 3 34
bids 1 16 8 13 0
calls 2 4 8 21 3
rice 0 36 2 0 0
300,000 8 13 0 7 10
East 13 5 3 7 10
100,000 13 13 0 7 5
relatively 7 4 12 5 10
represents 8 2 3 11 14
light 12 4 10 5 7
debt. 5 0 3 15 15
supplies 15 16 0 5 2
futures 8 21 9 0 0
feed 0 33 0 4 1
recovery 9 3 5 3 18
stable 9 1 22 1 5
each. 1 0 0 33 4
says 3 6 17 11 1
banks. 9 0 12 9 8
Europe 10 3 10 4 11
Britain 6 6 19 3 4
Wall 1 0 1 27 8
firm. 3 1 0 31 2
EXPECTS 0 1 2 1 33
crops 0 37 0 0 0
program, 4 28 1 2 2
10.3 1 4 0 1 31
ago, 11 9 4 5 8
parts 4 13 0 12 8
1.6 3 3 2 17 12
1987/88 2 15 12 2 6
30,000 7 16 0 7 7
items 1 2 0 5 29
moves 6 5 12 8 6
fuel 24 1 1 1 10
71 0 2 0 8 27
world's 12 5 9 8 3
3.2 7 6 2 6 16
RESERVES 14 0 22 0 1
itself 8 1 8 14 6
banks, 3 0 18 10 6
needs 7 9 9 10 2
Hong 0 4 4 16 13
1988, 4 2 5 12 14
PROFITS 1 0 0 1 35
PACT 5 2 5 24 1
stockholders 0 0 0 20 17
PRODUCTS 0 3 0 8 26
Life 0 0 0 26 11
trying 8 3 8 14 4
together 3 0 6 21 7
sent 9 5 2 18 3
shipment 8 27 0 0 2
property 2 0 0 14 21
SHARE 1 1 0 21 14
PRICES 29 7 0 0 1
require 4 9 4 16 4
Earnings 1 0 0 0 36
soft 1 25 2 5 4
face 9 5 14 4 5
problem 6 6 15 3 7
Street 1 0 1 26 8
create 5 1 5 18 7
DECLARES 0 0 0 1 35
production, 22 12 0 1 1
limit 3 8 11 8 6
head 7 7 10 9 3
aid 6 19 7 2 2
1.25 1 2 2 9 22
1.8 6 7 1 7 15
Qtrly 0 0 0 0 36
combination 0 0 2 26 8
2 3 4 10 12 7
merger, 0 0 0 35 1
named 5 0 0 23 8
Bundesbank 0 0 36 0 0
January. 8 2 16 3 7
using 12 4 10 6 4
Dutch 1 3 14 11 7
2.6 2 6 2 7 19
larger 8 3 7 11 7
68 4 1 0 3 28
ability 6 2 3 12 13
short-term 3 0 20 6 7
exporters 2 23 11 0 0
reflecting 5 2 10 3 16
steel 5 0 3 13 15
RESULTS 0 2 0 0 34
95 1 5 3 9 18
failed 2 3 12 14 5
representing 5 3 1 21 6
COMPANY 0 0 0 34 2
quota 28 5 0 0 3
interview 12 4 8 8 4
... 9 6 8 9 4
immediate 10 5 5 10 6
health 2 0 3 18 13
primarily 4 5 0 8 19
industry. 12 3 2 14 4
closely 1 6 19 8 1
7.5 5 4 3 8 15
went 6 3 2 3 21
Michael 2 3 3 15 12
application 1 3 0 28 3
All 4 12 4 6 9
ruling 3 10 9 11 2
southern 11 16 0 8 0
200,000 6 14 1 9 5
before. 4 0 2 2 27
1. 6 6 2 7 14
buyers 10 9 2 12 2
Germany, 3 1 25 5 1
merged 0 2 0 29 4
profitable 1 2 0 13 19
positive 7 3 2 8 15
recorded 2 4 2 2 25
1988. 2 3 5 4 21
BAKER 2 0 22 11 0
Paul 3 1 13 16 2
William 3 1 2 21 8
tonne 0 35 0 0 0
takes 1 0 20 9 5
USAIR 0 0 0 34 1
Products 0 1 0 25 9
products. 5 1 0 20 9
block 2 0 3 29 1
ceiling 22 2 8 3 0
Bancorp 0 0 0 25 10
Brazil 8 7 3 4 13
Chemical 2 0 2 18 13
accounted 2 1 2 9 21
barrel, 34 0 0 0 1
pipeline 27 0 0 4 4
50,000 12 10 1 6 6
developing 3 6 8 9 9
act 5 5 5 16 4
portion 1 2 1 21 10
Trading 5 6 5 7 12
approval. 1 2 0 32 0
avoid 10 6 8 9 2
role 6 3 15 8 3
Council 4 15 12 4 0
slow 5 10 13 1 6
states 11 11 5 6 2
whole 9 6 9 7 4
favor 4 11 2 16 1
resources 5 3 1 17 8
transaction, 1 0 0 32 1
policy. 3 5 21 3 2
1985/86 2 21 1 0 10
sale, 0 1 0 22 11
costs, 5 7 0 3 19
CANADIAN 9 6 1 14 4
weather 4 25 2 0 3
TAKEOVER 0 0 0 34 0
YEN 0 0 34 0 0
statements 3 3 14 6 8
sale. 0 0 0 28 6
tonnes. 2 30 0 0 2
requirements 2 3 9 9 11
fact 5 5 11 5 8
staff 2 6 3 9 14
Two 5 4 2 8 15
Southern 4 0 0 22 8
reducing 3 6 11 3 11
producer 9 5 1 17 2
big 2 5 12 9 6
4.2 5 6 3 3 17
cited 1 5 6 10 12
forecasts 6 6 7 1 14
That 2 5 11 11 5
consolidated 1 0 1 9 23
future. 2 2 3 11 16
earlier, 6 7 1 6 14
issues 4 6 12 6 6
consumption 17 9 7 0 1
field 12 10 0 7 5
whose 6 1 5 16 6
day, 19 1 7 6 1
Swiss 0 0 11 6 17
5.5 2 4 3 10 15
Lehman 3 1 7 21 2
Partners 2 0 0 28 4
retained 0 1 1 28 4
refused 10 3 12 9 0
technology 1 2 0 27 4
parties 4 0 5 25 0
intended 5 7 7 11 4
SEEKS 3 2 2 26 1
stabilise 6 2 26 0 0
disposal 2 0 0 5 27
negotiate 9 1 1 23 0
800 3 0 15 12 4
stabilize 6 1 24 1 2
retain 3 1 2 17 10
HOLDINGS 0 2 1 14 16
82 1 0 1 7 24
FEDERAL 0 0 0 8 25
talk 1 16 11 4 1
representatives 4 9 2 18 0
acreage 4 27 0 1 1
found 8 4 4 13 4
drilling 25 0 0 5 3
Public 1 3 4 3 22
construction 7 1 1 8 16
61 2 2 0 4 25
tendered 0 1 0 32 0
anticipated 2 4 0 7 20
yield 4 11 11 3 4
GENCORP 0 0 0 29 4
subsidiary. 2 0 0 21 10
season 3 27 0 0 3
Administration 15 3 6 4 5
ships 17 15 0 0 1
RISE 6 3 6 1 17
Dividend 0 0 0 0 33
lowered 3 6 2 10 12
debentures 0 0 0 23 10
bank, 0 0 11 14 8
1.60 0 0 14 0 19
TONNES 0 33 0 0 0
behind 3 2 17 2 9
costs. 0 5 1 3 24
END 1 0 3 10 19
CYCLOPS 0 0 0 33 0
CUTS 4 2 1 16 10
shareholders, 1 0 0 29 3
once 4 4 7 13 5
offshore 25 0 2 2 4
trading. 0 1 15 12 5
merger. 0 1 0 30 2
dividend, 0 0 0 2 31
months, 12 2 5 2 12
ten 2 10 0 11 10
Market 2 8 11 9 3
contributed 3 2 4 5 19
11.5 2 2 1 3 25
project 12 1 0 9 11
Arabia 22 6 5 0 0
Continental 2 9 2 9 11
minister 19 3 8 3 0
City 0 5 1 19 8
expressed 4 5 4 19 1
push 3 2 25 2 1
products, 5 3 2 10 13
system, 5 4 17 4 3
underlying 3 0 24 4 2
77 0 0 0 1 31
commission 4 9 1 9 9
stood 1 2 16 1 12
sheet 0 0 3 6 23
mean 3 7 15 4 3
GROWTH 2 2 4 1 23
4.4 6 1 0 6 19
confident 1 2 6 14 9
Canada's 3 9 0 11 9
previously-announced 0 0 0 27 5
orders 0 0 7 1 24
assets, 0 0 2 20 10
Australia 2 10 0 13 7
3.1 4 0 0 8 20
Interest 1 1 15 1 14
News 3 9 6 11 3
factor 3 3 7 5 14
countries. 1 10 13 5 3
CORP> 0 0 0 7 25
operation. 2 1 3 16 10
Associates 0 1 1 25 5
sees 4 2 2 8 16
Miyazawa 0 0 32 0 0
strategy 4 0 3 17 8
reflects 2 3 1 2 24
formal 2 3 6 17 4
Home 1 7 0 18 6
deposits 2 0 15 9 6
Period 0 0 0 0 32
life 2 2 6 11 11
customers 8 1 5 8 10
fund 1 2 7 16 6
serious 5 8 4 11 4
partners 6 0 8 12 6
MAKE 0 0 0 30 2
oper 0 0 0 0 32
Agency 11 9 8 2 2
affiliate 1 0 0 23 8
worldwide 7 0 6 13 6
original 1 7 5 13 6
Sea 21 3 1 3 4
opposed 7 8 0 16 1
transfer 3 1 1 19 8
Prime 9 2 14 7 0
forced 12 3 3 4 10
invest 6 0 4 12 10
sterling 0 0 27 0 5
chairman, 2 0 1 21 8
sought 3 4 5 17 3
Air 0 0 0 31 1
consideration 3 6 3 18 2
stop 6 7 13 6 0
commitment 6 7 3 13 3
try 1 7 6 14 4
decide 9 8 3 9 3
different 2 12 5 6 7
SEC 0 0 0 29 2
others 5 2 7 11 6
exercise 2 0 0 21 8
achieve 4 3 13 3 8
levels, 8 6 9 2 6
figures. 3 13 3 1 11
67 0 2 0 6 23
3.6 8 0 1 5 17
production. 19 9 0 0 3
inflation 3 1 22 1 4
designed 4 5 11 10 1
refinery 28 0 0 0 3
PLAN 3 8 2 16 2
System 0 0 16 10 5
comprising 1 2 22 5 1
10.1 1 3 0 5 22
SALES 0 5 5 2 19
comments 0 9 18 4 0
With 4 11 4 8 4
MEDICAL 0 0 0 9 22
source 9 7 4 10 1
authorities 2 3 20 5 1
trend 5 5 10 5 6
leave 5 5 9 9 3
fields 21 8 0 1 1
Among 5 1 18 5 2
drain 1 1 27 0 2
points 1 6 14 5 5
biggest 10 2 2 8 9
totaled 4 5 1 7 14
depreciation 0 0 8 0 23
successful 4 4 9 6 8
bid. 1 1 1 27 1
billion, 1 1 9 2 18
San 3 3 0 21 4
Both 2 1 1 21 6
10.4 0 2 0 1 28
office 2 2 2 19 6
intention 3 2 6 20 0
Division 0 2 2 25 2
run 2 2 16 6 5
"It's 4 3 6 18 0
ministry 10 2 12 6 1
cumulative 2 5 1 11 12
houses 1 2 25 3 0
alternative 0 6 3 20 2
enable 2 5 2 17 5
western 7 10 7 4 3
Arab 19 0 10 1 1
night 16 5 1 9 0
family 0 2 1 25 3
ministers 8 2 20 0 1
brokerage 1 0 0 23 7
post 2 0 2 8 19
lot 4 6 7 7 7
EXCHANGE 0 1 25 5 0
maximum 6 13 1 9 2
opening 4 2 11 7 7
process 1 4 7 11 7
thought 4 7 13 5 1
intend 4 3 5 17 1
MAKES 1 1 0 26 2
measure 4 11 12 2 1
Class 0 0 0 9 21
ask 6 5 7 4 8
600 3 5 2 13 7
package 4 5 13 7 1
ENDS 0 0 0 20 10
Kong 0 4 3 11 12
brings 13 0 14 2 1
disclosed 2 1 1 22 4
intervened 0 0 30 0 0
appropriate 3 3 11 11 2
sales, 4 3 6 10 7
activity 4 8 8 5 5
suit 0 0 2 23 5
year-end 2 0 3 8 17
providing 4 5 3 11 7
directly 3 4 5 14 4
taxes 3 1 1 1 24
AB 0 0 0 19 11
soybean 1 29 0 0 0
weak 8 2 7 0 13
FRENCH 2 17 3 8 0
hands 0 1 19 4 6
satisfactory 0 0 5 14 11
economy. 9 2 15 1 3
markets, 2 7 13 3 5
percentage 2 4 9 9 6
policy, 2 4 16 3 5
suspended 6 1 8 6 9
forward 4 2 14 2 8
smaller 11 4 7 6 2
6 3 3 2 11 11
Since 2 4 12 8 4
TRADE 4 18 8 0 0
OFF 16 2 1 6 5
transaction. 1 1 0 28 0
it's 3 9 4 9 5
92 0 12 0 1 17
monthly 5 8 6 2 9
minority 1 0 0 21 8
willing 2 3 6 18 1
66 0 1 1 3 25
1.05 1 1 5 2 21
Shearson 3 1 6 18 2
To 3 9 9 5 4
Industry 7 2 7 12 2
BE 1 12 3 11 3
notes 0 0 6 18 6
protect 11 4 8 7 0
Officials 4 4 11 9 2
huge 8 3 12 5 2
speech 8 2 9 5 6
Ltd. 2 0 1 15 12
opposition 5 4 11 9 1
appears 4 8 11 3 4
nation's 7 2 8 9 4
placed 3 3 5 10 9
Corp>, 1 0 0 22 7
BUYOUT 0 0 0 30 0
extend 3 6 7 8 6
Transportation 0 1 0 26 3
USAir 0 0 0 30 0
81 0 1 0 3 26
actions 3 3 3 17 3
adjustment 1 4 12 1 11
PETROLEUM 2 0 0 4 23
CENTRAL 0 0 15 3 11
Pretax 0 0 0 0 29
moving 3 6 12 2 6
agriculture 2 26 0 1 0
6.5 1 4 3 7 14
totalling 3 6 8 7 5
Electric 1 1 0 15 12
stated 2 4 2 10 11
privately-held 1 0 0 27 1
cts. 1 0 0 1 27
results. 1 0 0 4 24
enter 3 2 7 17 0
hostile 1 0 0 24 4
afternoon 3 2 23 0 1
UNITED 0 0 0 13 16
NOTE:1986 0 0 0 0 29
Security 2 0 0 25 2
2.9 5 0 0 3 21
89 0 1 0 2 26
effects 5 3 5 4 12
materials 2 1 0 20 6
circulation 0 0 23 6 0
2.7 4 3 2 5 15
Morgan 2 0 8 15 4
stg, 1 1 12 3 12
hopes 6 0 6 7 10
facility 3 0 12 11 3
TWA 0 0 0 29 0
Business 0 2 3 17 7
day. 15 1 7 3 3
carry 6 3 3 11 6
steps 3 1 13 10 2
technical 6 3 7 7 6
4.0 5 1 6 2 15
starting 2 4 8 4 11
possibly 8 4 8 8 1
followed 8 8 7 4 2
MORE 1 12 5 7 4
regional 5 1 3 14 6
December, 9 3 4 3 10
Boston 1 0 0 22 6
cubic 23 0 0 3 3
encourage 10 10 5 2 2
single 2 6 6 9 6
manager 7 5 9 7 1
steady 4 8 13 1 3
eased 3 2 15 3 6
cutting 4 4 13 0 8
"But 4 6 8 6 5
EXPECTED 0 5 19 3 2
averaged 8 6 15 0 0
Royal 9 2 1 8 9
10. 0 3 2 8 16
advantage 4 5 3 9 8
emergency 17 6 4 0 2
"a 4 3 6 8 8
noted. 3 6 7 6 7
progress 1 4 4 4 15
3.3 4 2 0 10 12
hurt 4 6 4 3 11
risen 4 5 12 0 7
marks. 0 0 13 1 14
Extraordinary 0 0 0 0 28
established 1 4 10 9 4
acquisition, 0 0 0 22 6
Friday. 3 2 7 13 3
grow 2 7 8 3 8
done 1 5 11 6 5
Exploration 17 0 0 7 4
1984 5 3 3 7 10
stake. 0 0 0 25 3
Industrial 3 1 2 15 7
QUARTER 0 1 0 0 27
throughout 3 6 3 8 8
CAPITAL 2 0 1 8 17
2.1 6 2 0 4 16
via 1 4 17 3 3
industry, 5 2 2 11 8
COMPUTER 0 0 0 9 19
covering 5 5 7 9 2
FORECAST 3 0 24 0 1
Kiichi 0 0 28 0 0
home 2 9 1 9 7
dividends. 1 0 0 3 24
MTHS 0 0 0 0 28
13.6 0 2 5 5 16
spokeswoman 5 3 3 14 3
Cyclops 0 0 0 28 0
state-owned 9 2 0 13 4
TAX 17 2 0 0 9
Co> 1 0 0 20 7
separate 5 0 0 19 4
port 15 9 0 2 2
Los 0 0 0 26 2
values 2 5 2 17 2
RATES 1 1 26 0 0
WILL 2 2 12 7 5
group. 2 1 1 17 7
